year,"Shahjalal International
Airport, Dhaka",Chattogram Airports,"Sylhet Osmani
Airports",Jashore Airports,Ishwardi Airports,Rajshahi Airports,Saidpur Airports,Tejgaon Airports,"Cox's bazar
Airports",Barishal Airports,
2003,110449,744,534,2992,-,20,12,-,-,85,
2004,109010,3100,173,4916,-,15,12,-,3022,165,
2005,126870,4061,198,4401,-,21,13,-,3478,96,
2006,111689,2622,3919,3561,-,15,14,-,3020,68,
2007,131240,2811,153,2880,-,2,-,-,2614,7,
2008,115348,2174,158,2125,-,-,11,-,2571,1,
2009,136179,1166,721,454,-,2,2,-,2697,632,
2010,155736,2501,1228,11415,-,-,-,-,3978,-,
2011,167768,3484,1020,3959,-,-,3,-,3881,-,
2012,213876,4525,852,2157,-,-,-,-,1577,-,
2013,233653,5227,1634,3036,-,-,-,-,2090,130,
2014,210977,4516,2666,4563,-,-,12769,-,3541,46,
2015,262099,6563,3532,4278,-,-,-,-,2809,05,
2016,277360,4455,5218,3035,-,-,-,-,2087,50,
2017,312316,3824,5697,3994,-,-,-,-,1676,-,
2018,364255,4647,6050,4232,-,-,-,-,3834,-,
