Area of operation,type,2013-14,2014-15,2015-16,2016-17,2017-18
Chattogram - Coxes Bazar,Domestic flight ,-,-,38,56,4074
Coxes Bazar - Chattogram,Domestic flight ,-,-,42,-,3047
Chattogram - Dhaka,Domestic flight ,64854,65044,87114,71466,125983
Dhaka - Chattogram,Domestic flight ,55635,66495,85445,121104,146801
Coxes Bazar - Dhaka,Domestic flight ,-,4261,20449,26186,36071
Dhaka - Coxes Bazar,Domestic flight ,-,4178,19299,24515,34056
Dhaka - Barishal,Domestic flight ,-,1512,4848,7041,7749
Barishal - Dhaka,Domestic flight ,-,1347,4112,6088,7295
Dhaka - Jashore,Domestic flight ,-,2609,16902,25362,22819
Jashore - Dhaka,Domestic flight ,-,2642,17712,24958,22798
Dhaka - Rajshahi,Domestic flight ,-,1718,8332,13875,12647
Rajshahi - Dhaka,Domestic flight ,-,1573,7350,13069,11683
Dhaka - Saidpur,Domestic flight ,-,2358,13638,18218,20794
Saidpur - Dhaka,Domestic flight ,-,2529,13419,18505,20645
Dhaka - Sylhet,Domestic flight ,17291,28726,50296,63784,87363
Sylhet - Dhaka,Domestic flight ,95030,125615,160188,176172,208662
Abu Dhabi - Chattogram,International flight,26180,28167,33347,40201,59047
Chattogram - Abu Dhabi,International flight,21181,28792,31984,54456,54952
Abu Dhabi - Dhaka,International flight,25293,43001,34619,6436,1556
Dhaka - Abu Dhabi,International flight,29103,46735,44981,10788,12032
Abu Dhabi - Sylhet,International flight,8075,11787,10148,17400,14457
Bangkok - Dhaka,International flight,18739,27142,28845,33292,41834
Dhaka - Bangkok,International flight,17836,26463,28062,32840,41300
Jakarta - Dhaka,International flight,-,212,-,-,-
Dhaka - Dammam,International flight,20070,38656,51697,56195,52817
Dammam - Dhaka,International flight,23924,35804,33309,40700,44674
Dhaka - Doha,International flight,16372,20698,23614,24062,36876
Doha - Dhaka,International flight,3628,10304,13106,1693,13742
Bangkok - Chattogram,International flight,-,-,-,-,-
Chattogram - Bangkok,International flight,-,-,-,-,-
Chattogram - Kolkata,International flight,-,1115,3822,4827,5018
Kolkata - Chattogram,International flight,-,1322,4714,4522,4432
Dhaka - Kolkata,International flight,30038,38281,53813,42484,58865
Kolkata - Dhaka,International flight,37873,41842,59076,49252,69939
Dhaka - Frankfurt,International flight,730,1016,-,-,-
Frankfurt  - Dhaka,International flight,719,1086,-,-,-
Dhaka - Hong Kong,International flight,5576,1677,-,-,-
Hong Kong - Dhaka,International flight,4838,1889,-,-,-
Dhaka - Dubai,International flight,27238,35265,37476,12737,5882
Dubai - Dhaka,International flight,25143,31337,25455,6023,5986
Dhaka - Jeddah,International flight,84923,105357,126082,122972,137342
Jeddah - Dhaka,International flight,74344,90846,99780,81428,83573
Dhaka - Kathmandu,International flight,28208,30030,26691,28523,30179
Kathmandu - Dhaka,International flight,41317,43774,38001,36464,40765
Dhaka - Kuala Lumpur,International flight,85340,119336,117117,88060,83326
Kuala Lumpur - Dhaka,International flight,72272,102339,109189,87699,64365
Dhaka - Kuwait,International flight,34636,37418,40744,44991,40364
Kuwait - Dhaka,International flight,31479,34886,35578,27069,35204
Dhaka - London,International flight,46909,52589,59390,59881,60274
London - Dhaka,International flight,13786,8540,8676,-,-
Dhaka - Muscat,International flight,21106,34089,43201,18424,18848
Muscat - Dhaka,International flight,20477,28766,28440,15170,18531
Dhaka - Milan,International flight,-,90,-,-,-
Milan - Dhaka,International flight,-,61,-,-,-
Dhaka - Yangon,International flight,2951,5656,6921,6970,5996
Yangon - Dhaka,International flight,2801,4629,6424,6732,6405
Dhaka - Rome,International flight,11032,13834,-,-,-
Rome - Dhaka,International flight,9619,11761,-,-,-
Dhaka - Riyadh,International flight,51296,89978,102356,107829,104898
Riyadh - Dhaka,International flight,62022,79384,73283,82198,86063
Dhaka - Singapore,International flight,36633,37398,38850,34748,34443
Singapore - Dhaka,International flight,35484,38722,43806,48031,46874
Dhaka - Delhi,International flight,4637,703,31,-,-
Delhi - Dhaka,International flight,7956,873,31,-,-
Dhaka - Amsterdam,International flight,-,-,69,-,-
Dhaka - Guwahati,International flight,-,-,464,-,-
Guwahati - Dhaka,International flight,-,-,158,-,-
Dhaka - Medina,International flight,-,-,30,-,-
Medina - Dhaka,International flight,63,55,82,-,-
Chattogram - Doha,International flight,77,4701,6428,12302,12443
Doha - Chattogram,International flight,3968,7635,7302,18876,13571
Chattogram - Dubai,International flight,17524,22484,21610,39496,34318
Dubai - Chattogram,International flight,21953,27491,25898,26706,87757
Chattogram - Jeddah,International flight,25919,29861,31870,39564,45061
Jeddah - Chattogram,International flight,30383,31991,34775,46148,54335
Chattogram - Muscat,International flight,23498,31822,34896,46568,42227
Muscat - Chattogram,International flight,24488,29636,27977,53542,55299
