year,"Shahjalal International
Airport, Dhaka",Chattogram Airports,"Sylhet Osmani
Airports",Jashore Airports,Ishwardi Airports,Rajshahi Airports,Saidpur Airports,Tejgaon Airports,"Cox's bazar
Airports",Barishal Airports,,
2003,2909,350,208,85,-,18,17,-,13,11,,
2004,3103,397,270,93,-,12,16,-,15,12,,
2005,5788,468,221,77,-,10,14,-,14,8,,
2006,2891,356,189,49,-,6,10,-,10,5,,
2007,3140,348,166,29,-,2,-,-,9,-,,
2008,4205,746,182,31,-,-,10,-,14,3,,
2009,4147,559,160,52,-,-,4,,25,2,,
2010,4690,690,191,51,-,-,-,-,35,-,,
2011,4756,861,180,83,-,1,1,-,58,-,,
2012,5574,922,210,82,-,3,8,-,66,-,,
2013,5678,929,216,105,-,37,06,-,41,03,,
2014,5564,1064,248,103,-,04,27,-,87,03,,
2015,6289,1088,293,105,-,06,44,-,107,03,,
2016,6527,1184,350,137,-,30,77,-,154,22,,
2017,7577,1415,480,230,-,52,190,-,256,38,,
2018,8898,1687,536,294,-,84,313,-,539,47,,
